Technology ,Stage,Role,Sum of Hours,Hourly pay 
Wind <50MW SPP,7. Layout Support & Modelling,Senior Project Manager,229.77,31.79487179
Wind <50MW SPP,8. Contract Tendering & Design,Assistant Project Manager,210.6225,14.87179487
Wind <50MW SPP,8. Contract Tendering & Design,Civil Engineer,210.6225,14.92307692
Wind <50MW SPP,8. Contract Tendering & Design,Electrical Engineer,421.245,14.92307692
Wind <50MW SPP,8. Contract Tendering & Design,Energy Yield Engineer,689.31,14.92307692
Wind <50MW SPP,8. Contract Tendering & Design,Project Manager,440.3925,27.17948718
Wind <50MW SPP,8. Contract Tendering & Design,Senior C&I Engineer,220.19625,26.15384615
Wind <50MW SPP,8. Contract Tendering & Design,Senior Electrical Engineer,220.19625,26.15384615
Wind <50MW SPP,8. Contract Tendering & Design,Senior Project Manager,114.885,31.79487179
Wind <50MW SPP,9. Construction & Commissioning,Assistant Project Manager,2316.8475,14.87179487
Wind <50MW SPP,9. Construction & Commissioning,Civil Engineer,84.249,14.92307692
Wind <50MW SPP,9. Construction & Commissioning,Electrical Engineer,1684.98,14.92307692
Wind <50MW SPP,9. Construction & Commissioning,Energy Yield Engineer,516.9825,14.92307692
Wind <50MW SPP,9. Construction & Commissioning,Project Manager,2422.15875,27.17948718
Wind <50MW SPP,9. Construction & Commissioning,Senior C&I Engineer,880.785,26.15384615
Wind <50MW SPP,9. Construction & Commissioning,Senior Electrical Engineer,1100.98125,26.15384615
Wind <50MW SPP,9. Construction & Commissioning,Senior Project Manager,919.08,31.79487179
Wind >=50MW SPP,1. Site Identification & Evaluation,Assistant Project Manager,63.18675,14.87179487
Wind >=50MW SPP,1. Site Identification & Evaluation,New Business Manager,68.931,30.76923077
Wind >=50MW SPP,1. Site Identification & Evaluation,Project Manager,286.255125,27.17948718
Wind >=50MW SPP,2. Feasibility & Grid Connection,Assistant Project Manager,526.55625,14.87179487
Wind >=50MW SPP,2. Feasibility & Grid Connection,Project Manager,440.3925,27.17948718
Wind >=50MW SPP,2. Feasibility & Grid Connection,Senior Project Manager,229.77,31.79487179
Wind >=50MW SPP,3. Environmental Impact Assessment,Assistant Project Manager,2106.225,14.87179487
Wind >=50MW SPP,3. Environmental Impact Assessment,Project Manager,2091.864375,27.17948718
Wind >=50MW SPP,3. Environmental Impact Assessment,Senior Project Manager,919.08,31.79487179
Wind >=50MW SPP,4. Planning phase - pre consent,Assistant Project Manager,1053.1125,14.87179487
Wind >=50MW SPP,4. Planning phase - pre consent,Project Manager,660.58875,27.17948718
Wind >=50MW SPP,4. Planning phase - pre consent,Senior Project Manager,459.54,31.79487179
Wind >=50MW SPP,5. Planning phase - post consent,Assistant Project Manager,210.6225,14.87179487
Wind >=50MW SPP,5. Planning phase - post consent,Project Manager,220.19625,27.17948718
Wind >=50MW SPP,5. Planning phase - post consent,Senior Project Manager,229.77,31.7948718
Wind >=50MW SPP,6. Land Agreements,Assistant Project Manager,252.747,14.87179487
Wind >=50MW SPP,6. Land Agreements,New Business Manager,275.724,30.76923077
Wind >=50MW SPP,6. Land Agreements,Project Manager,264.2355,27.17948718
Wind >=50MW SPP,7. Layout Support & Modelling,Assistant Project Manager,421.245,14.87179487
Wind >=50MW SPP,7. Layout Support & Modelling,Civil Engineer,42.1245,14.92307692
Wind >=50MW SPP,7. Layout Support & Modelling,Electrical Engineer,421.245,14.92307692
Wind >=50MW SPP,7. Layout Support & Modelling,Energy Yield Engineer,344.655,14.92307692
Wind >=50MW SPP,7. Layout Support & Modelling,Project Manager,440.3925,27.17948718
Wind >=50MW SPP,7. Layout Support & Modelling,Senior C&I Engineer,330.294375,26.15384615
Wind >=50MW SPP,7. Layout Support & Modelling,Senior Electrical Engineer,66.058875,26.15384615
Wind >=50MW SPP,7. Layout Support & Modelling,Senior Project Manager,229.77,31.7948718
Wind >=50MW SPP,8. Contract Tendering & Design,Assistant Project Manager,210.6225,14.87179487
Wind >=50MW SPP,8. Contract Tendering & Design,Civil Engineer,210.6225,14.92307692
Wind >=50MW SPP,8. Contract Tendering & Design,Electrical Engineer,421.245,14.92307692
Wind >=50MW SPP,8. Contract Tendering & Design,Energy Yield Engineer,689.31,14.92307692
Wind >=50MW SPP,8. Contract Tendering & Design,Project Manager,440.3925,27.17948718
Wind >=50MW SPP,8. Contract Tendering & Design,Senior C&I Engineer,220.19625,26.15384615
Wind >=50MW SPP,8. Contract Tendering & Design,Senior Electrical Engineer,220.19625,26.15384615
Wind >=50MW SPP,8. Contract Tendering & Design,Senior Project Manager,114.885,31.7948718
Wind >=50MW SPP,9. Construction & Commissioning,Assistant Project Manager,3369.96,14.87179487
Wind >=50MW SPP,9. Construction & Commissioning,Civil Engineer,84.249,14.9230769
Wind >=50MW SPP,9. Construction & Commissioning,Electrical Engineer,1684.98,14.9230769
Wind >=50MW SPP,9. Construction & Commissioning,Energy Yield Engineer,516.9825,14.9230769
Wind >=50MW SPP,9. Construction & Commissioning,Project Manager,3523.14,27.17948718
Wind >=50MW SPP,9. Construction & Commissioning,Senior C&I Engineer,1100.98125,26.15384615
Wind >=50MW SPP,9. Construction & Commissioning,Senior Electrical Engineer,1541.37375,26.15384615
Wind >=50MW SPP,9. Construction & Commissioning,Senior Project Manager,1378.62,31.7948718
